"table-list-order","tablescraper-selected-row","tablescraper-selected-row 2","tablescraper-selected-row 3"
"170","Kirin 710A","D","238420"
"171","Helio P70","D","233983"
"172","Kirin 710","D","250554"
"173","Snapdragon 821","D","263454"
"174","Kirin 960","D","289944"
"175","Exynos 8890","D","299737"
"176","Exynos 9610","D","259680"
"177","Helio G36","D","140941"
"178","Helio G37","D","152974"
"179","Helio G35","D","144387"
"180","Helio P60","D","186518"
"181","Snapdragon 660","D","251675"
"182","Helio P35","D","147559"
"183","Helio G25","D","125125"
"184","Snapdragon 820","D","259958"
"185","Exynos 7904","D","187120"
"186","Snapdragon 632","D","182478"
"187","Exynos 7884B","D","155644"
"188","Exynos 7885","D","202681"
"189","Snapdragon 439","D","150067"
"190","Snapdragon 630","D","167245"
"191","Helio P22","D","122540"
"192","Snapdragon 636","D","212492"
"193","Helio A22","D","123031"
"194","Snapdragon 450","D","135122"
"195","Snapdragon 625","D","167228"
"196","Kirin 659","D","103757"
"197","Exynos 7870","D","144731"
"198","Unisoc SC9863A","D","119450"
"199","MediaTek MT6739","D","59165"
"200","Snapdragon 430","D","134889"
